City,Local time,Description,Temperature,UTC time
Beijing,Sun 6:24 am,Mild.,64 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Moscow,Sun 1:24 am,Overcast. Mild.,63 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Beirut,Sun 1:24 am,Scattered clouds. Warm.,83 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Mumbai,Sun 3:54 am,Passing clouds. Hot.,89 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Belém,Sat 7:24 pm,Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Muscat,Sun 2:24 am,Hot.,89 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Belgrade,Sun 12:24 am,Clear. Mild.,68 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
N'Djamena,Sat 11:24 pm,Clear. Hot.,90 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Belmopan,Sat 4:24 pm,Overcast. Warm.,87 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Nairobi,Sun 1:24 am,Passing clouds. Mild.,63 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Belushya Guba,Sun 1:24 am,Overcast. Quite cool.,43 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Nassau,Sat 6:24 pm,Scattered clouds. Warm.,86 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bengaluru,Sun 3:54 am,Partly cloudy. Mild.,72 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
New Delhi,Sun 3:54 am,Fog. Warm.,83 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Berlin,Sun 12:24 am,Light rain. Clear. Cool.,57 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
New Orleans,Sat 5:24 pm,Scattered clouds. Hot.,90 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bern,Sun 12:24 am,Clear. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
New York,Sat 6:24 pm,Scattered clouds. Warm.,83 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bishkek,Sun 4:24 am,Clear. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Ngerulmud,Sun 7:24 am,Overcast. Mild.,74 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bissau,Sat 10:24 pm,Clear. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Niamey,Sat 11:24 pm,Clear. Warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bogota,Sat 5:24 pm,Scattered clouds. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Nicosia,Sun 1:24 am,Passing clouds. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Boston,Sat 6:24 pm,Scattered clouds. Hot.,88 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Norilsk,Sun 5:24 am,Sunny. Cool.,49 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Brasilia,Sat 7:24 pm,Thundershowers. Passing clouds. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Novosibirsk,Sun 5:24 am,Passing clouds. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bratislava,Sun 12:24 am,Clear. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Nuku'alofa,Sun 11:24 am,Overcast. Mild.,72 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Brazzaville,Sat 11:24 pm,Clear. Mild.,75 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Nusantara,Sun 6:24 am,Thundershowers. Overcast. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bridgetown,Sat 6:24 pm,Scattered clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Nuuk,Sat 9:24 pm,Passing clouds. Cool.,48 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Brisbane,Sun 8:24 am,Cool.,58 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Oklahoma City,Sat 5:24 pm,Passing clouds. Extremely hot.,97 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Brussels,Sun 12:24 am,Passing clouds. Cool.,57 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Omsk,Sun 4:24 am,Fog. Cool.,58 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bucharest,Sun 1:24 am,Clear. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Oral,Sun 3:24 am,Clear. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Budapest,Sun 12:24 am,Clear. Mild.,64 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Oslo,Sun 12:24 am,Light rain. Mostly cloudy. Cool.,52 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Buenos Aires,Sat 7:24 pm,Drizzle. Low clouds. Cool.,52 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Ottawa,Sat 6:24 pm,Broken clouds. Warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Bujumbura,Sun 12:24 am,Passing clouds. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Palikir,Sun 9:24 am,Passing clouds. Hot.,90 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Cairns,Sun 8:24 am,Scattered clouds. Mild.,72 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Panama,Sat 5:24 pm,Thunderstorms. Partly sunny. Warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Cairo,Sun 1:24 am,Clear. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Papeete,Sat 12:24 pm,Overcast. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Calgary,Sat 4:24 pm,Partly sunny. Mild.,63 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Paris,Sun 12:24 am,Clear. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Canberra,Sun 8:24 am,Overcast. Cool.,54 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Perth,Sun 6:24 am,Clear. Cool.,54 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Cancún,Sat 5:24 pm,Scattered clouds. Warm.,88 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Petropavlovsk-Kamchatsky,Sun 10:24 am,Partly sunny. Cool.,50 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Cape Town,Sun 12:24 am,Clear. Cool.,48 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Pevek,Sun 10:24 am,Passing clouds. Chilly.,40 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Caracas,Sat 6:24 pm,Passing clouds. Warm.,84 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Philadelphia,Sat 6:24 pm,Broken clouds. Hot.,88 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Cardiff,Sat 11:24 pm,Clear. Cool.,54 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Phoenix,Sat 3:24 pm,Passing clouds. Extremely hot.,108 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Casablanca,Sat 11:24 pm,Mild.,68 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Pituffik,Sat 7:24 pm,Overcast. Quite cool.,44 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Cayenne,Sat 7:24 pm,Clear. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Podgorica,Sun 12:24 am,Clear. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Chennai,Sun 3:54 am,Fog. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Pond Inlet,Sat 6:24 pm,Sunny. Chilly.,39 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Chibougamau,Sat 6:24 pm,Partly sunny. Mild.,68 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Ponta Delgada,Sat 10:24 pm,Passing clouds. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Chicago,Sat 5:24 pm,Partly sunny. Warm.,80 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Pontianak,Sun 5:24 am,Overcast. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Chita,Sun 7:24 am,Clear. Quite cool.,41 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Port-au-Prince,Sat 6:24 pm,Passing clouds. Hot.,91 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Chișinău,Sun 1:24 am,Clear. Cool.,55 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Port-aux-Francais,Sun 3:24 am,Cool.,52 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Chongqing,Sun 6:24 am,Clear. Mild.,68 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Port Louis,Sun 2:24 am,Passing clouds. Mild.,71 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Conakry,Sat 10:24 pm,Passing clouds. Warm.,84 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Port of Spain,Sat 6:24 pm,Scattered showers. Passing clouds. Warm.,81 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Copenhagen,Sun 12:24 am,Passing clouds. Cool.,54 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Port Vila,Sun 9:24 am,Sprinkles. Mostly cloudy. Mild.,72 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Coral Harbour,Sat 5:24 pm,Partly sunny. Cool.,48 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Porto Novo,Sat 11:24 pm,Passing clouds. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Córdoba,Sat 7:24 pm,Overcast. Cool.,52 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Prague,Sun 12:24 am,Clear. Cool.,55 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Dakar,Sat 10:24 pm,Passing clouds. Warm.,77 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Pretoria,Sun 12:24 am,Refreshingly cool.,57 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Dallas,Sat 5:24 pm,Broken clouds. Hot.,90 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Punta Arenas,Sat 7:24 pm,Light rain. Overcast. Quite cool.,41 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Damascus,Sun 1:24 am,Sunny. Mild.,73 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Pyongyang,Sun 7:24 am,Partly sunny. Mild.,68 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Danmarkshavn,Sat 10:24 pm,Sunny. Chilly.,32 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Quito,Sat 5:24 pm,Partly sunny. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Dar es Salaam,Sun 1:24 am,Passing clouds. Mild.,75 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Rabat,Sat 11:24 pm,Passing clouds. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Darwin,Sun 7:54 am,Clear. Mild.,73 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Rarotonga,Sat 12:24 pm,Passing clouds. Mild.,73 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Denpasar,Sun 6:24 am,Overcast. Warm.,82 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Regina,Sat 4:24 pm,Partly sunny. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Denver,Sat 4:24 pm,Scattered clouds. Pleasantly warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Resolute Bay,Sat 5:24 pm,Overcast. Chilly.,34 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Detroit,Sat 6:24 pm,Sunny. Pleasantly warm.,85 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Reykjavik,Sat 10:24 pm,Passing clouds. Cool.,55 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Dhaka,Sun 4:24 am,Low clouds. Warm.,83 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Riga,Sun 1:24 am,Passing clouds. Cool.,54 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Dnipro,Sun 1:24 am,Passing clouds. Cool.,61 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Rio Branco,Sat 5:24 pm,Scattered clouds. Warm.,86 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Dodoma,Sun 1:24 am,Passing clouds. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Rio de Janeiro,Sat 7:24 pm,Mostly cloudy. Mild.,73 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Doha,Sun 1:24 am,Clear. Extremely hot.,99 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Riyadh,Sun 1:24 am,Clear. Extremely hot.,93 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Douglas,Sat 11:24 pm,Passing clouds. Cool.,55 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Rome,Sun 12:24 am,Passing clouds. Mild.,72 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Dubai,Sun 2:24 am,Clear. Hot.,90 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Rovaniemi,Sun 1:24 am,Sunny. Cool.,54 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Dublin,Sat 11:24 pm,Passing clouds. Cool.,52 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Saint-Denis,Sun 2:24 am,Clear. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Dushanbe,Sun 3:24 am,Clear. Mild.,70 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Salt Lake City,Sat 4:24 pm,Passing clouds. Pleasantly warm.,85 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Easter Island,Sat 4:24 pm,Broken clouds. Mild.,66 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Samara,Sun 2:24 am,Clear. Cool.,59 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Edinburgh,Sat 11:24 pm,Clear. Cool.,54 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
San Francisco,Sat 3:24 pm,Passing clouds. Mild.,71 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
Edmonton,Sat 4:24 pm,Passing clouds. Mild.,68 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
San Jose,Sat 4:24 pm,Scattered clouds. Warm.,79 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
El Aaiún,Sat 11:24 pm,Clear. Mild.,68 °F,"UTC (GMT/Zulu)-time: Saturday, June 13, 2026 at 22:24:08"
